user-id,text,Topic,Thread-id,Time,Post-id
andreavergara19,"@24HorasTVN 'No existen vacunas que curen las enfermedades transmitidas por virus, por su mutabilidad'.",Covid-19,1099,2020-08-03 12:59:39,1290271111008067584
carn1325,"@24HorasTVN Ahora la #OMS vale callampa, pero antes habia que hacerle caso en todo.  Los weones chaqueteros la cagan",Covid-19,1100,2020-08-03 12:58:57,1290270932720857090
araya_javier,@24HorasTVN @robertroxx Justo ahora cuando los rusos encontraron la vacuna Sospechosa lla wea,Covid-19,1101,2020-08-03 12:58:55,1290270926404231168
nachomaturana,@24HorasTVN Parece que es verdad que del 👑🦠 nadie sabe nada. Chinos 🤬🤬🤬,Covid-19,1102,2020-08-03 12:58:07,1290270725429895170
RiccardoDonoso1,"@24HorasTVN La Organización Mundial de la Salud, dice que los estudios de la vacuna del covid 19 , son esperanzador… https://t.co/DgEs4dKD5A",Covid-19,1103,2020-08-03 12:57:58,1290270688629018625
Kosmic_charly,@24HorasTVN Que alegría empezar la semana con esta noticia 🙄,Covid-19,1104,2020-08-03 12:56:38,1290270353445367809
jmarchantmatthe,"@24HorasTVN Un resfrío común tampoco tiene solución, no existe cura para un ataque viral. Eso ya se sabe desde el s… https://t.co/Q0dadx5jid",Covid-19,1105,2020-08-03 12:54:43,1290269870521634816
RiccardoDonoso1,@24HorasTVN Y porque no hablan de la vacuna Rusa,Covid-19,1106,2020-08-03 12:54:10,1290269732327714817
AlfredoAtfta,@24HorasTVN La OMS más parece una entidad medieval,Covid-19,1107,2020-08-03 12:54:03,1290269700887257088
Frdoca,@24HorasTVN Que buena noticia y titular para comenzar la semana 🌚,Covid-19,1108,2020-08-03 12:53:42,1290269614627270656
FredyFlanagan,@24HorasTVN Weones terroristas de la siquis. Son unos malditos hijos de puta.,Covid-19,1109,2020-08-03 12:52:14,1290269245289271296
ozkar8,@24HorasTVN Ya valimos verga,Covid-19,1110,2020-08-03 12:51:34,1290269074505764866
FredyFlanagan,@24HorasTVN Periodista de la CSM  desde el lector hasta el Editor. Peguense un balazo,Covid-19,1111,2020-08-03 12:51:24,1290269033539936257
FredyFlanagan,@24HorasTVN Como TVN se hace eco de marxistas como la OMS,Covid-19,1112,2020-08-03 12:50:33,1290268819122921472
Josema_jara,"@24HorasTVN La OMS dando animo, como siempre.",Covid-19,1113,2020-08-03 12:46:55,1290267907344146434
karoAndrea44,"@24HorasTVN Estos wns juegan con la salud mental a nivel mundial, un dia dicen una cosa y despues salen con otra..… https://t.co/hYHrE0s80D",Covid-19,1114,2020-08-03 12:46:11,1290267721293131777
CarolinaMilet,@24HorasTVN Súper responsable de parte de la OMS... gente que por estos titulares le dan crisis de pánico. Esta org… https://t.co/1DC7ibwnYl,Covid-19,1115,2020-08-03 12:46:00,1290267674287603712
VictimadelB,@24HorasTVN GRACIAS POR ÑA NOTICIA FIJATE NO SABIA AHORA PODRÉ DORMIR TRANQUILO,Covid-19,1116,2020-08-03 12:44:41,1290267344317452288
Darmitaa,@24HorasTVN Qué alentador.,Covid-19,1117,2020-08-03 12:43:54,1290267145964679168
Loba_Stargaryen,@24HorasTVN Ja!!! era de esperar... la OMS  y su virus chanta.,Covid-19,1118,2020-08-03 12:43:22,1290267014540345347
excesante2345,@24HorasTVN 😂😂😂,Covid-19,1119,2020-08-03 12:42:17,1290266741264842752
CKlehin,@24HorasTVN La OMS es un nido de corruptos esbirros de la Elit . Su plandemia se caerá de apoco .,Covid-19,1120,2020-08-03 12:42:14,1290266728987942912
pobletem07,@24HorasTVN Yaaa les vamos a creer tranquilos oms 🤣🤣,Covid-19,1121,2020-08-03 12:41:13,1290266470983897088
Raphael65151540,"@24HorasTVN Vale callampa la OMS. No previene, esconde información de China y trabaja para las farmacéuticas. (La p… https://t.co/lmquPblGtD",Covid-19,1122,2020-08-03 12:39:28,1290266029684215809
donramon8,@24HorasTVN La OMS se supera sola,Covid-19,1123,2020-08-03 12:39:16,1290265980778827776
franrodrming,@24HorasTVN #FueraOMSdeChile,Covid-19,1124,2020-08-03 12:38:34,1290265802877235202
USSURSSUSMID,@24HorasTVN Extraordinaria función de la OMS. Deben cerrarla por fuera esa organización inútil,Covid-19,1125,2020-08-03 12:38:28,1290265781104648192
ndrea_soto,@24HorasTVN Ya nadie les cree,Covid-19,1126,2020-08-03 12:37:31,1290265541282639873
saludxeso,@24HorasTVN OMS es como creerle a la CADEM aquí 🤦🏻‍♂️,Covid-19,1127,2020-08-03 12:37:24,1290265511943577600
CanasPrieto,@24HorasTVN No les creo nada,Covid-19,1128,2020-08-03 12:37:05,1290265431773573120
DiegoTirado94,@24HorasTVN Fake News,Covid-19,1129,2020-08-03 12:35:14,1290264967359410176
